CatID	category	maxcount	suffixID	samplevalue
1	Measuretype	1		F, PT, PR, M, S
2	Param	1	3	LR, Gain, Hbin, Die-X
3	Paramsuffix	1		Tx, Q P3db, maxG
4	Band	3		B1, B25, MBTHRU, HBTHRU, DCS, PCS …
5	Pmode	2		HPMA, HPME, LPM, G0, G1, G2, G3, G4, G5
6	Modulation	1		CW, WCDMA, HSUPA, LFUQ, LFU1, LTUQ, LTU1 …
7	Waveform	1		GTC1, ST3, 10M50RB, 10M12RB19S, 20M100RB …
8	MeasureInfo	1		Lower, Upper, Phase, BEL, MB, BEH, MAX, MIN
9	Ptype	1		FixedPin, Sweep, FixedPout
10	Power	1		"*dBm" (covers all string end with dBm)
11	Frequency	2		"*MHz" (cover all string end with MHz)
12	Channel	1		"ch*" (cover all string start with ch)
13	SNP	1		"S##" (cover all string start with S)
14	Port	5		ANT, TXMB,TXHB, RXMB1
15	Vcc	1		"[\d]V" (cover all string as a number and V
16	Vdd	1		"*Vdd"(cover all string end with Vdd)
17	Dac	10	19	"0x[0-9A-F]{2}" (covers all string start with 0x follow by two hex digits)
18	Temperature	1		RT, LT, HT
19	DACsuffix	1		"DAC_" + [2 hex digits]
98	PlaceHolder	99		"x"
99	Note	1		free form. Always the last string in the header
