CatID	keyID	param	param_suffix	suffixID	suffixCatID	Notes
1	101	F				Fbar
1	102	PT				PA Tx 
1	103	PR				PA Rx
1	104	M				MISC
1	105	S				Sytem

2	1	SBIN				
2	2	HBIN				
2	3	DIE				
2	3	DIE	X	3A	3	
2	3	DIE	Y	3B	3	
2	4	SITE				
2	5	TIME				
2	5	TIME	PaTest	5A	3	
2	5	TIME	FbarTest	5B	3	
2	6	TOTAL	TEST	6A	3	
2	7	LOT	ID	7A	3	
2	8	WAFER	ID	8A	3	
2	9	PassFail				
2	10	TimeStamp				
2	11	IndexTime				
2	12	PartSN				
2	13	SWBinName				
2	14	HWBinName				
2	201	Ibatt				
2	201	Ibatt	Q	201A	3	
2	201	Ibatt	MaxGain	201B	3	
2	201	Ibatt	P2dB	201C	3	
2	201	Ibatt	P3dB	201D	3	
2	202	Ibias				
2	202	Ibias	Q	202A	3	
2	203	Idd				
2	203	Idd	Q	203A	3	
2	204	Icc				
2	204	Icc	Q	204A	3	
2	204	Icc	MaxGain	204B	3	
2	204	Icc	P2dB	204C	3	
2	204	Icc	P3dB	204D	3	
2	205	Itotal				
2	205	Itotal	Q	205A	3	
2	205	Itotal	MaxGain	205B	3	
2	205	Itotal	P2dB	205C	3	
2	205	Itotal	P3dB	205D	3	
2	206	Isdata	Tx	206A	3	
2	206	Isdata	Rx	206B	3	
2	207	Isclk	Tx	207A	3	
2	207	Isclk	Rx	207B	3	
2	208	Ivio	Tx	208A	3	
2	208	Ivio	Rx	208B	3	
2	209	Pin				
2	209	Pin	MaxGain	209A	3	
2	209	Pin	P1dB	209B	3	
2	209	Pin	P2dB	209C	3	
2	209	Pin	P3dB	209D	3	
2	210	Pout				
2	210	Pout	MaxGain	210A	3	
2	210	Pout	P1dB	210B	3	
2	210	Pout	P2dB	210C	3	
2	210	Pout	P3dB	210D	3	
2	210	Pout	(^atPin)	210E	3	
2	211	Gain				
2	211	Gain	MaxGain	211A	3	
2	211	Gain	P1dB	211B	3	
2	211	Gain	P2dB	211C	3	
2	211	Gain	P3dB	211D	3	
2	211	Gain	IIP3	211E	3	
2	211	Gain	Delta	211F	3	
2	211	Gain	Tx	211G	3	
2	211	Gain	Fltns	211H	3	
2	211	Gain	GPS	211I	3	
2	211	Gain	GPS-Rel	211J	3	
2	211	Gain	ISM	211K	3	
2	211	Gain	ISM-Rel	211L	3	
2	211	Gain	H2	211M	3	
2	211	Gain	H2-Rel	211N	3	
2	211	Gain	H3	211O	3	
2	211	Gain	H3-Rel	211P	3	
2	211	Gain	5G	211Q	3	
2	211	Gain	Rx	211R	3	
2	211	Gain	Rx-Phase	211S	3	
2	212	PAE				
2	212	PAE	5G-Rel	212A	3	
2	212	PAE	MaxGain	212B	3	
2	212	PAE	P2dB	212C	3	
2	212	PAE	P3dB	212D	3	
2	213	(^TxLeakage)				any string start with "TxleakageB"
2	214	IM3				
2	215	IIP3				
2	216	PowerDrop	Delta	216A	3	
2	217	GainLinearity				
2	218	ACLR	1L	218A	3	
2	218	ACLR	1U	218B	3	
2	218	ACLR	2L	218C	3	
2	218	ACLR	2U	218D	3	
2	218	E-ACLR	L	218E	3	
2	218	E-ACLR	U	218F	3	
2	219	PoutSettingTime				
2	219	PoutSettingTime	Off	219A	3	
2	220	H2				
2	221	H2at2G				
2	222	H3				
2	223	ForwardIso				
2	224	Pcon				
2	225	Ieff				
2	226	RL				
2	227	GD	Ripple	227A	3	
2	228	ISO	LNA-Rev	228A	3	
2	228	ISO	Tx	228B	3	
2	228	ISO	Rx	228C	3	
2	229	ATT				
2	229	ATT	Integrated	229A	3	
2	230	Ripple				
2	231	NF				
2	232	Temperature				
2	233	MIPI				
2	233	MIPI	ReadTxPID	233A	3	
2	233	MIPI	ReadRxPID	233B	3	
2	233	MIPI	ReadTxMID	233C	3	
2	233	MIPI	ReadRxMID	233D	3	
2	233	MIPI	ReadTxUSID	233E	3	
2	233	MIPI	ReadRxUSID	233F	3	
2	233	MIPI	ReadTxReg	233G	3	
2	233	MIPI	ReadRxReg	233H	3	
2	233	MIPI	OTPBURN	233I	3	
2	233	MIPI	Loop-OTPBURN	233J	3	
2	233	MIPI	OTPBURN-RX	233K	3	
2	233	MIPI	Loop-OTPBURN-RX	233L	3	
2	233	MIPI	TXQC	233M	3	
2	233	MIPI	RXQC	233N	3	
2	233	MIPI	TEMP	233O	3	
2	233	MIPI	UNITID	233P	3	
2	234	IL				
2	235	OTPSiteNo				
2	236	TestSiteNo				
2	237	Alignment	Flag	237A	3	
2	238	(^Ibatt-)				
2	239	(^Ibias-)				
2	240	(^Idd-)				
2	241	(^Icc-)				
2	242	(^Itotal-)				
2	243	(^Isdata-)				
2	244	(^Isclk-)				
2	245	(^Ivio-)				
